time,open,high,low,close
7/15/2021,2317501.33,2360292.85,2317501.33,2354610.65,6.00
7/16/2021,2357213.85,2452073.38,2349588.37,2452073.38,11.00
7/19/2021,2433519.74,2433519.74,2234056.64,2269413.04,32.00
7/20/2021,2291029.03,2361800.33,2266424.23,2361723.51,11.00
7/21/2021,2353207.72,2372728.48,2320696.06,2372648.57,13.00
7/22/2021,2381820.32,2383833.26,2346032.64,2372101.38,14.00
7/23/2021,2376701.88,2464639.34,2376701.88,2464559.16,3.00
7/26/2021,2461254.32,2471989.12,2449520.23,2460686.63,15.00
7/27/2021,2586633.62,2597486.44,2564426.88,2597403.22,9.00
7/28/2021,2585765.37,2634612.29,2497114.15,2497114.15,26.00
7/29/2021,2491924.68,2495915.23,2446057.98,2457951.24,25.00
7/30/2021,2448745.74,2453172.16,2392440.04,2401535.89,24.00
8/2/2021,2402060.27,2442433.96,2402060.27,2442433.96,15.00
8/3/2021,2442351.37,2508609.91,2416845.56,2508527.33,13.00
8/4/2021,2500505.80,2500505.80,2386317.37,2405389.46,25.00
8/5/2021,2401909.30,2432036.41,2394769.97,2431955.12,7.00
8/6/2021,2423952.32,2426244.26,2410884.73,2411595.34,20.00
8/9/2021,2403750.64,2408903.32,2323106.61,2329308.30,34.00
8/10/2021,2330743.67,2371865.10,2327210.21,2371865.10,10.00
8/11/2021,2370834.14,2392615.13,2350143.46,2392615.13,5.00
8/12/2021,2391748.70,2440010.88,2373154.98,2439929.99,9.00
8/13/2021,2443031.59,2443031.59,2415153.53,2429116.06,23.00
8/16/2021,2421106.75,2527147.47,2387859.44,2527065.36,13.00
8/17/2021,2526426.87,2533917.05,2488276.64,2495936.27,21.00
8/18/2021,2497029.43,2523479.13,2436403.17,2523479.13,15.00
8/19/2021,2522639.79,2522639.79,2405738.78,2428724.11,18.00
8/20/2021,2419060.21,2442482.57,2384575.97,2442400.46,13.00
8/23/2021,2548513.08,2548513.08,2548430.58,2548430.58,2.00
8/24/2021,2534812.08,2534812.08,2449418.86,2452328.64,42.00
8/25/2021,2443344.28,2443867.42,2397849.06,2397849.06,25.00
8/26/2021,2391443.31,2391443.31,2340920.79,2368062.72,27.00
8/27/2021,2367555.32,2420789.14,2347694.74,2420709.18,10.00
8/30/2021,2500539.77,2500539.77,2500458.08,2500458.08,2.00
8/31/2021,2513537.20,2513537.20,2475227.32,2494927.19,17.00
9/1/2021,2479390.31,2484620.31,2431351.11,2468882.62,22.00
9/2/2021,2462940.11,2477980.48,2452607.18,2477980.48,13.00
9/3/2021,2471720.32,2482210.21,2444247.43,2482126.60,12.00
9/7/2021,2471985.43,2471985.43,2433992.82,2451347.84,14.00
9/8/2021,2446383.66,2446383.66,2389269.71,2401044.87,25.00
9/9/2021,2398021.95,2425066.33,2370532.78,2425066.33,17.00
9/10/2021,2422271.34,2505031.47,2401186.50,2505031.47,23.00
9/13/2021,2498422.47,2562621.14,2467623.56,2479000.20,26.00
9/14/2021,2475070.20,2551624.55,2475070.20,2551624.55,11.00
9/15/2021,2536979.75,2587477.34,2493192.34,2587391.21,24.00
